Langue;Sexe;Date de naissance;Code postal;Ville;Pays
fr;M;24/05/2021;1630;Linkebeek;Belgium
fr;F;30/03/2013;1090;Forest;Belgium
fr;M;20/07/1983;1480;Tubize;Belgium
fr;M;26/06/2012;1190;Forest;Belgium
fr;F;05/08/2016;1620;Drogenbos;Belgium
fr;F;25/12/2019;1620;Drogenbos;Belgium
fr;F;15/07/2010;1060;Bruxelles;Belgium
fr;M;06/10/2000;1180;Uccle;Belgium
fr;F;18/01/2021;1190;Forest;Belgium
fr;M;01/04/1998;1300;WAVRE;Belgium
fr;F;08/05/2014;1180;Uccle;Belgium
fr;F;21/11/2016;1180;Uccle;Belgium
fr;M;26/01/1991;1600;Sint Pieters Leeuw;Belgium
fr;M;30/03/1966;1190;Forest;Belgium
fr;F;27/11/1988;1410;Waterloo;Belgium
fr;F;29/04/2019;1410;WATERLOO;Belgium
fr;;27/02/2017;1060;Bruxelles;Belgium
fr;M;30/01/2009;1701;Itterbeek;Belgium
fr;F;23/06/2010;1180;uccle;Belgium
fr;F;07/11/2001;1180;Uccle;Belgium
fr;F;31/08/2020;1601;Ruisbroek;Belgium
fr;F;18/05/1983;1180;Uccle;Belgium
fr;F;09/02/2011;1180;Uccle;Belgium
fr;F;15/05/2013;1180;Uccle;Belgium
fr;M;11/12/2009;1703;Schepdaal;Belgium
fr;M;11/04/2021;1620;Beersel;Belgium
fr;F;22/11/2016;1620;Drogenbos;Belgium
fr;M;06/02/1986;1620;Drogenbos;Belgium
fr;M;29/01/1991;1180;Uccle;Belgium
fr;F;25/11/2012;1650;Beersel;Belgium
fr;F;29/06/1991;1050;Bruxelles;Belgium
fr;M;26/01/1998;7850;Petit-Enghien;Belgium
fr;M;22/11/2021;1440;Braine-le-Chateau;Belgium
fr;M;05/06/1981;1180;Bruxelles;Belgium
fr;F;15/07/1988;1060;Lobbes;Belgium
fr;M;19/03/1977;1190;Forest;Belgium
fr;M;17/07/1984;1180;Uccle;Belgium
fr;F;01/09/1985;1180;Uccle;Belgium
fr;F;08/02/1981;1650;Beersel;Belgium
fr;M;19/02/2019;1180;Bruxelles;Belgium
fr;M;15/09/2021;1180;Bruxelles;Belgium
